seed	N	T	F	DRA	D	DSTA	Empty	Transmitted	TPF	TL1
4	21	0	0.300	0.006777	0.072870	0.073728	0.060674	1.479482e+12	10.068696	0.887403
4	22	0	0.300	0.006955	0.078668	0.079566	0.045873	1.528029e+12	10.862877	0.895745
4	23	0	0.300	0.007114	0.085957	0.086941	0.033408	1.564173e+12	11.816125	0.904614
4	24	0	0.300	0.007223	0.091117	0.092225	0.025319	1.611693e+12	12.279990	0.906371
4	25	0	0.300	0.007302	0.096464	0.097690	0.019355	1.655950e+12	12.643498	0.908204
4	26	0	0.300	0.007398	0.104297	0.105647	0.013478	1.684967e+12	13.661995	0.914576
4	27	0	0.300	0.007469	0.112570	0.114020	0.009324	1.715881e+12	14.782573	0.920997
4	28	0	0.300	0.007470	0.117741	0.119421	0.006994	1.757281e+12	14.711133	0.912106
4	29	0	0.300	0.007469	0.122917	0.124719	0.005245	1.795932e+12	14.593331	0.902251
4	30	0	0.300	0.007507	0.131379	0.133338	0.003398	1.822399e+12	15.482488	0.904501
4	31	0	0.300	0.007534	0.140579	0.142710	0.002175	1.838917e+12	16.589857	0.908718
4	32	0	0.300	0.007556	0.148838	0.151122	0.001450	1.862764e+12	17.077293	0.910317
4	33	0	0.300	0.007570	0.158922	0.161461	0.000899	1.875853e+12	18.256727	0.914008
4	34	0	0.300	0.007582	0.168717	0.171527	0.000457	1.888233e+12	19.412617	0.916776
4	35	0	0.300	0.007588	0.179234	0.182115	0.000285	1.900249e+12	20.496024	0.918604
4	36	0	0.300	0.007594	0.189638	0.192628	0.000149	1.913232e+12	21.616296	0.919578
4	37	0	0.300	0.007600	0.201418	0.204400	0.000090	1.923210e+12	22.894327	0.920642
4	38	0	0.300	0.007608	0.210765	0.213679	0.000039	1.933289e+12	24.045830	0.922809
4	39	0	0.300	0.007610	0.220774	0.223677	0.000032	1.943916e+12	24.708012	0.925558
4	40	0	0.300	0.007616	0.233449	0.235774	0.000022	1.947623e+12	25.197746	0.927037
5	1	0	0.300	0.000137	0.013693	0.013693	0.896755	8.436100e+10	3.102729	0.690506
5	2	0	0.300	0.000445	0.016814	0.016837	0.840305	1.679832e+11	3.551020	0.737461
